year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,173,894,83.79
2003,1142,193,949,83.10
2004,1135,197,938,82.64
2005,1097,174,923,84.14
2006,1118,178,940,84.08
2007,1090,145,945,86.70
2008,1108,141,967,87.27
2009,1140,147,993,87.11
2010,1099,125,974,88.63
2011,1101,112,989,89.83
2012,1103,106,997,90.39
2013,1105,94,1011,91.49
2014,1053,85,968,91.93
2015,1059,72,987,93.20
2016,1122,63,1059,94.39
2017,1091,53,1038,95.14
2018,1147,44,1103,96.16
2019,1083,47,1036,95.66
2020,1012,23,989,97.73
